Company_ID,Purchase_Date,Product_Category,Quantity,Total_Sales,Gender,Marital_Status,Price_Per_Unit,Customer_Type,Age
4,2021-12-19,Home,8,423.4705373698799,Female,Divorced,19.41262872893105,New Customer,54
3,2021-10-10,Beauty,2,394.3993248842733,Female,Divorced,34.29638716319013,New Customer,71
6,2021-06-28,Home,9,157.5674880834599,Male,Widowed,15.469915689821457,New Customer,80
2,2021-10-14,Books,1,113.35181920150936,Male,Married,8.158978246466457,Returning Customer,26
6,2020-02-09,Beauty,4,85.72998230135478,Male,Single,26.59839854038132,New Customer,46
5,2020-12-15,Clothing,9,42.1292366624202,Male,Widowed,29.19986403053873,Returning Customer,47
4,2020-02-01,Home,2,290.5519499327749,Male,Married,38.349117246958926,Returning Customer,58
6,2020-04-19,Electronics,10,46.00056502149462,Female,Divorced,11.324868457773453,Returning Customer,42
4,2021-10-23,Clothing,4,305.26435002512176,Male,Single,13.21367285368812,New Customer,31
3,2020-10-03,Beauty,2,291.8787673492808,Male,Widowed,7.525576180458959,Returning Customer,48
2,2020-10-28,Beauty,2,257.3112017437234,Male,Divorced,46.65169752660408,New Customer,43
5,2021-11-26,Home,6,145.39666389134374,Female,Divorced,17.750466216934676,Returning Customer,26
2,2021-03-25,Electronics,2,363.59229031940873,Male,Widowed,30.164122146386166,New Customer,32
2,2021-06-06,Home,6,283.07734621263444,Female,Widowed,10.291185013453497,New Customer,35
2,2020-01-02,Clothing,5,79.94266644606456,Male,Divorced,14.013735112590274,New Customer,59
3,2021-03-20,Clothing,9,353.2561116378925,Male,Married,24.093222987021903,New Customer,64
4,2021-12-11,Beauty,7,53.14442643139754,Female,Widowed,37.819091751936746,New Customer,59
3,2020-12-05,Electronics,2,483.215843463166,Female,Widowed,26.866380386647325,New Customer,48
4,2020-03-18,Electronics,10,293.73553313400527,Female,Married,44.701950968016135,New Customer,19
4,2021-09-03,Clothing,10,335.6101072463475,Male,Single,20.816718963601925,Returning Customer,20
2,2020-04-10,Home,2,332.25471527351885,Female,Single,46.730651468456074,New Customer,35
2,2021-12-25,Home,10,344.3704634237708,Female,Single,18.214831442914605,New Customer,42
3,2021-02-15,Home,1,354.3758871957095,Male,Married,31.56992661923591,New Customer,39
6,2020-09-13,Books,2,348.4947466800495,Male,Widowed,20.49038053576181,Returning Customer,66
5,2020-05-05,Home,5,148.29033307457377,Male,Divorced,14.920762429376623,Returning Customer,31
3,2020-10-19,Books,3,87.08837322826724,Male,Single,29.268420665529213,Returning Customer,23
2,2020-05-20,Electronics,10,119.57642356530184,Male,Single,34.589772736889586,Returning Customer,73
1,2021-07-14,Home,5,299.73596559830116,Female,Single,7.151630052279302,Returning Customer,56
2,2021-12-05,Clothing,6,436.2562311599857,Female,Divorced,24.1643668899757,New Customer,70
3,2021-12-18,Beauty,8,63.309985281732686,Male,Widowed,30.962566281812865,New Customer,20
5,2021-02-09,Books,3,337.1324912404214,Male,Widowed,43.6353212005303,Returning Customer,70
4,2020-05-17,Books,7,289.252877002742,Male,Widowed,37.634143963351455,New Customer,61
3,2021-12-02,Electronics,4,312.9237709471897,Female,Widowed,34.549759628704145,Returning Customer,20
5,2021-01-25,Home,2,205.6460115989058,Female,Married,44.5037917809984,Returning Customer,57
2,2020-09-01,Books,4,56.610918071671165,Male,Single,6.864936113783221,New Customer,65
1,2020-11-25,Beauty,6,326.0525553078014,Male,Divorced,24.173454819158927,New Customer,21
5,2021-07-18,Electronics,4,205.59393856726408,Female,Single,48.310386210224074,Returning Customer,49
4,2021-08-14,Beauty,5,138.62891562539292,Male,Single,10.466386084230383,Returning Customer,77
3,2020-05-20,Home,9,403.2816865759015,Male,Divorced,15.55382542157464,New Customer,34
6,2021-03-30,Beauty,6,381.48330007583746,Male,Single,7.844251831746113,New Customer,59
6,2021-03-15,Beauty,5,407.5938729623967,Female,Widowed,10.304875433242778,New Customer,73
6,2020-01-07,Clothing,9,51.98860330128838,Female,Single,38.12006528616474,Returning Customer,32
5,2020-03-14,Clothing,4,454.2593361255122,Female,Single,16.444225656915698,New Customer,68
6,2020-11-29,Clothing,9,430.33751038718333,Male,Widowed,23.022723330174266,Returning Customer,53
3,2020-03-03,Home,10,177.10779917097037,Male,Divorced,38.51831256083159,New Customer,23
6,2021-02-04,Beauty,1,263.566565426554,Female,Married,5.115490705540545,Returning Customer,26
4,2021-07-27,Clothing,5,230.34413395906003,Female,Single,41.92818756023339,Returning Customer,63
1,2020-04-27,Clothing,2,250.25856230992977,Female,Single,7.76208458735332,Returning Customer,73
6,2021-07-20,Books,10,113.49693750358621,Female,Single,22.133984621601133,New Customer,56
4,2020-10-27,Beauty,5,234.32754673981762,Female,Widowed,37.17247631853294,New Customer,35
3,2020-05-31,Beauty,9,352.2769041904949,Male,Single,15.441004928836755,Returning Customer,49
6,2020-10-05,Home,5,291.71901462626306,Male,Widowed,24.50714308414462,New Customer,50
5,2021-12-07,Electronics,4,433.87199951666133,Male,Widowed,44.99301762370185,New Customer,27
5,2020-12-30,Clothing,8,58.63372872700061,Female,Widowed,12.471949371114317,Returning Customer,58
1,2020-09-24,Beauty,7,136.8841399658678,Male,Single,16.527836656323164,New Customer,28
3,2020-12-11,Home,3,251.8750279231169,Female,Married,34.50556791767949,Returning Customer,21
4,2020-10-23,Electronics,8,490.7073455133077,Male,Widowed,28.03063078357814,Returning Customer,18
4,2021-07-23,Electronics,1,446.4642293584377,Male,Widowed,29.365116589473004,Returning Customer,76
3,2021-10-02,Books,3,468.8262806844823,Female,Widowed,32.90500407389527,Returning Customer,68
2,2020-04-28,Beauty,5,219.26923191870836,Male,Widowed,32.433992928466026,Returning Customer,50
2,2021-03-15,Home,8,91.09310657231904,Female,Divorced,27.587724533906545,New Customer,59
4,2021-05-08,Beauty,9,227.77442131690455,Female,Single,26.02423712015066,Returning Customer,58
6,2021-03-09,Books,2,126.24471379351799,Male,Single,45.8263453825868,Returning Customer,21
2,2020-02-02,Home,2,176.97901376544647,Male,Widowed,47.764363124975496,Returning Customer,73
5,2020-10-05,Books,2,371.1158728900803,Male,Widowed,19.98038503251314,Returning Customer,35
6,2020-04-17,Home,10,50.902978157962146,Female,Divorced,13.931562186053311,Returning Customer,75
5,2021-03-19,Home,3,39.70217694683171,Female,Single,34.94798742744415,Returning Customer,49
4,2020-06-20,Books,2,304.1133042464432,Male,Widowed,24.71596535347081,New Customer,20
5,2021-04-06,Beauty,5,280.52097707829734,Female,Widowed,46.5339105683971,New Customer,52
3,2021-01-04,Beauty,1,153.48313643560462,Female,Widowed,45.731488977402975,Returning Customer,48
6,2021-08-23,Books,8,418.1020689535739,Male,Single,27.964536081144576,Returning Customer,33
1,2021-06-29,Beauty,1,75.34812727732572,Male,Single,22.160328132091827,Returning Customer,54
5,2021-02-11,Electronics,3,176.177484310789,Female,Divorced,32.17724433412128,New Customer,73
2,2020-11-05,Books,5,490.6170581156856,Female,Widowed,43.603791530629756,Returning Customer,46
5,2021-11-29,Home,2,18.28161785488752,Male,Widowed,14.666472252607834,Returning Customer,54
1,2021-05-19,Home,9,441.9893839075898,Female,Widowed,43.41324679422582,Returning Customer,62
4,2020-11-03,Beauty,6,406.98105741633816,Male,Single,19.2261688384172,Returning Customer,42
6,2021-10-29,Books,4,131.07587111869782,Male,Divorced,16.112161309961998,New Customer,39
6,2021-07-01,Beauty,2,329.6992474356386,Male,Married,38.00215418567077,New Customer,78
4,2020-02-12,Electronics,7,365.9474602852885,Male,Widowed,13.809710019148586,New Customer,76
2,2021-11-16,Clothing,8,65.84020964932606,Female,Widowed,21.452745535773452,Returning Customer,62
5,2021-04-23,Books,4,429.9555189544388,Male,Single,7.607510731173866,Returning Customer,75
2,2021-10-30,Books,9,82.15451158297432,Female,Divorced,36.787081551474145,Returning Customer,26
4,2021-12-11,Clothing,7,207.58464907116698,Male,Divorced,13.285895839841393,Returning Customer,75
5,2021-09-05,Electronics,2,164.715073017212,Female,Single,11.591728876066522,Returning Customer,52
1,2021-12-02,Books,1,463.2652926335587,Male,Divorced,11.957523231195589,New Customer,64
4,2021-08-27,Clothing,10,36.12588610573208,Male,Divorced,31.390018143069245,Returning Customer,39
1,2020-06-03,Clothing,1,440.9353454923123,Female,Married,13.663516606307411,New Customer,25
1,2021-04-24,Electronics,5,346.76357524370417,Male,Widowed,24.31407529438006,Returning Customer,37
2,2020-04-25,Books,6,54.954896900345325,Male,Single,37.80277863059113,New Customer,56
5,2021-11-24,Books,9,255.0516632300275,Female,Married,44.64704203265965,New Customer,48
4,2020-12-17,Beauty,10,457.4325574038381,Male,Divorced,46.45713281330611,Returning Customer,56
5,2020-05-23,Home,1,110.02719649682325,Male,Married,32.70942687097329,Returning Customer,68
6,2021-05-25,Beauty,7,345.1820575881108,Male,Widowed,28.385343060512366,Returning Customer,36
1,2021-04-27,Electronics,4,218.9833391836769,Female,Widowed,22.070230098300538,Returning Customer,56
4,2021-02-10,Books,9,462.28292146539087,Male,Divorced,8.55715397680256,New Customer,67
6,2021-12-29,Beauty,7,143.06488950546236,Female,Married,21.62786233329372,New Customer,57
2,2021-05-11,Beauty,5,376.38246163943,Female,Single,41.48196258811728,Returning Customer,24
2,2020-04-21,Home,1,260.61254863467855,Female,Single,32.74655885067978,New Customer,47
4,2021-06-04,Clothing,7,353.72825844602085,Male,Single,25.351279015483783,Returning Customer,40
2,2020-06-16,Books,6,263.75730674490705,Male,Widowed,13.98190137357401,New Customer,68
2,2020-08-07,Books,10,279.1443309346274,Male,Married,8.879373681531305,Returning Customer,32
3,2020-09-28,Books,2,163.0418562054267,Female,Widowed,39.79885283595949,Returning Customer,53
3,2020-01-11,Clothing,9,93.61639161704757,Male,Divorced,37.721680553698995,New Customer,67
5,2020-04-15,Clothing,7,328.34930340438484,Female,Single,27.473136834897847,Returning Customer,79
2,2020-09-16,Clothing,1,413.6223203514158,Male,Married,45.475304860744764,Returning Customer,68
6,2020-12-12,Books,7,492.2033315998201,Male,Widowed,21.301507153027604,New Customer,29
5,2021-11-23,Clothing,10,182.02178812817635,Male,Single,6.591693357453653,Returning Customer,75
6,2021-04-27,Home,2,173.65713572786538,Female,Single,25.271308270666534,Returning Customer,40
1,2020-07-20,Electronics,7,237.08454119296061,Male,Single,10.906126001332176,Returning Customer,27
5,2021-11-08,Clothing,6,436.3867337279811,Male,Married,19.8520246364285,New Customer,38
5,2021-10-16,Electronics,5,375.65655704508174,Male,Widowed,11.21417771464137,New Customer,78
5,2020-01-29,Home,6,185.21359190194613,Male,Widowed,34.8563469444,Returning Customer,45
4,2021-09-30,Beauty,9,51.662950134555494,Female,Widowed,18.817972007407413,New Customer,37
3,2020-08-25,Clothing,2,123.57753164474398,Male,Widowed,37.71065253713825,Returning Customer,60
3,2020-01-26,Electronics,4,69.43217511700942,Male,Married,7.508037242963422,Returning Customer,22
5,2021-04-23,Electronics,9,393.3105773311977,Male,Married,26.509173689072238,Returning Customer,58
1,2020-04-20,Clothing,6,248.47428158825034,Female,Single,12.872898137120902,Returning Customer,54
